39
Адаменко,92,60,80,82,67,false
Базір,95,85,92,77,81,true
Бовсунівський,69,89,95,98,93,false
Бондар В.,81,86,96,82,72,false
Бондар О.,93,98,85,93,94,true
Бугайов,84,71,98,76,68,false
Валігура,85,74,61,61,77,true
Васюк,101,64,80,85,73,true
Величко,75,64,99,99,91,true
Верещак,79,95,94,97,62,false
Вінницький,66,72,68,95,88,false
Віхляєв,85,67,72,63,71,false
Гордієнко,75,91,68,62,90,false
Граб,83,64,68,94,93,false
Гук,70,69,84,95,66,true
Дроздович,88,79,85,65,74,true
Дубинський,84,65,85,74,95,false
Євтушенко,77,69,87,67,82,true
Заєць,79,67,98,87,71,false
Зайченко В.,75,84,68,90,72,true
Зайченко І.,77,84,75,82,81,false
Згуровський,81,76,74,97,74,false
Знахаренко,63,85,64,90,67,true
Зозуля,87,69,63,68,89,false
Каленик,97,74,96,71,61,true
Калініченко,69,101,64,101,88,true
Карпа,64,65,99,94,65,true
Кершков,85,97,84,97,81,false
Кибко,91,99,89,99,62,true
Ковальов,77,99,68,61,81,true
Козар,60,62,63,63,77,true
Корольова,95,82,60,65,79,true
Костяєв,70,75,100,63,71,true
Котяй,96,94,96,77,70,true
Кошовець,98,98,96,85,60,true
Кущ,87,62,95,81,68,false
Лейзьо,97,66,66,66,60,false
Линник,81,63,76,62,73,false
Литвинчук,97,75,86,94,65,false
