40
Lawson,81,98,96,84,83,TRUE
Lucas,99,96,75,65,70,TRUE
Maxwell,80,81,100,82,86,FALSE
Marshall,70,90,85,71,65,FALSE
Manning,79,93,82,86,101,FALSE
Morrison,89,85,100,90,92,TRUE
Mitchell,85,92,80,70,60,TRUE
Miles,63,90,94,85,85,FALSE
Mason,71,60,69,88,87,FALSE
Montgomery,94,76,89,91,65,FALSE
Morgan,75,64,74,96,93,FALSE
Nolan,90,69,79,68,101,TRUE
Olsen,91,100,92,73,84,TRUE
Oliver,75,75,91,69,84,TRUE
Palmer,95,100,94,86,82,FALSE
Parker,63,68,69,74,83,FALSE
Parsons,97,71,93,63,90,FALSE
Pearson,94,98,81,77,65,FALSE
Peterson,94,79,94,94,75,TRUE
Phillips,89,64,78,62,90,TRUE
Porter,93,96,65,94,64,FALSE
Powell,82,91,71,67,90,FALSE
Reynolds,62,84,92,86,94,TRUE
Robinson,70,84,101,68,62,FALSE
Sanders,77,74,66,80,100,TRUE
Scott,70,86,101,63,68,TRUE
Sullivan,64,100,95,76,83,TRUE
Smith,97,68,74,71,60,FALSE
Stewart,93,97,78,65,93,FALSE
Simmons,79,86,80,71,75,TRUE
Thomas,64,60,93,88,66,FALSE
Taylor,65,62,100,66,101,FALSE
Turner,87,101,69,96,64,TRUE
Foster,82,92,76,88,93,FALSE
Hudson,91,99,70,78,100,FALSE
Hamilton,96,87,87,60,81,FALSE
Reid,60,76,99,63,73,TRUE
Shaw,90,60,101,89,75,TRUE
Shepherd,90,90,94,93,65,TRUE
Wright,90,85,82,86,101,TRUE
