36
Adams,92,60,80,82,67,FALSE
Baker V.,80,81,96,82,72,FALSE
Baker O.,93,98,85,93,97,TRUE
Bellamy,69,89,95,98,93,FALSE
Bond,81,86,96,82,72,FALSE
Brown,93,98,85,93,94,TRUE
Butler,84,71,98,76,68,FALSE
Campbell,85,74,61,61,77,TRUE
Clark,101,64,80,85,73,TRUE
Cooper,75,64,99,99,91,TRUE
Davis,79,95,94,97,62,FALSE
Evans,66,72,68,95,88,FALSE
Fletcher,85,67,72,63,71,FALSE
Fox,98,65,92,73,99,FALSE
Gordon,75,91,68,62,90,FALSE
Gray,83,64,68,94,93,FALSE
Harrison,70,69,84,95,66,TRUE
Hudson,88,79,85,65,74,TRUE
Jackson,84,65,85,74,95,FALSE
Johnson,77,69,87,67,82,TRUE
Knight,79,67,98,87,71,FALSE
Lopez,75,84,68,90,72,TRUE
Morgan,77,84,75,82,81,FALSE
Murphy,81,76,74,97,74,FALSE
Nelson,63,85,64,90,67,TRUE
Parker,87,69,63,68,89,FALSE
Price,97,74,96,71,61,TRUE
Reynolds,69,101,64,101,88,TRUE
Roberts,64,65,99,94,65,TRUE
Smith,85,97,84,97,81,FALSE
Taylor,91,99,89,99,62,TRUE
Turner,77,99,68,61,81,TRUE
Walker,60,62,63,63,77,TRUE
Williams,95,82,60,65,79,TRUE
Young,70,75,100,63,71,TRUE
Zane,96,94,96,77,70,TRUE
Zimmerman,98,98,96,85,60,TRUE
